season,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints,HV5,AV5,HV3,AV3
1718,2,3,A,0,1,2028,0,1,6,14,2,5,11,15,26,8,-18,-4,-8,0,0,0,0
1718,3,0,H,1,3,2029,1,2,17,26,2,11,27,15,17,14,-3,12,-9,0,0,0,0
1718,1,3,A,2,4,2030,1,3,15,33,0,13,25,9,21,12,-9,16,-18,0,0,0,1
1718,2,1,H,1,1,2031,1,1,17,10,2,4,11,21,20,15,-5,-10,7,0,0,0,0
1718,0,2,A,1,0,2032,0,0,11,6,1,2,10,29,22,8,-14,-19,5,0,0,0,0
1718,1,1,D,0,4,2033,0,2,9,30,2,12,23,8,19,11,-8,15,-21,0,0,0,0
1718,3,0,H,5,0,2034,3,0,31,12,0,1,11,24,14,37,23,-13,19,1,0,1,0
1718,1,1,D,3,2,2035,2,1,28,17,1,6,22,18,14,32,18,4,11,0,0,0,0
1718,0,0,D,4,3,2036,2,2,19,18,0,11,18,20,18,19,1,-2,1,0,0,0,0
1718,0,1,A,1,5,2037,1,3,12,35,0,15,34,9,23,18,-5,25,-23,0,1,0,1
1718,1,0,H,2,0,2038,1,0,16,0,1,0,6,33,18,19,1,-27,16,0,0,0,0
1718,0,1,A,5,5,2039,3,3,38,34,0,15,40,14,9,35,26,26,4,1,1,1,1
1718,3,1,H,4,1,2040,2,1,31,10,0,4,12,23,9,24,15,-11,21,0,0,0,0
1718,1,1,D,3,2,2041,2,1,19,19,2,7,20,18,20,18,-2,2,0,0,0,0,0
1718,2,2,D,0,4,2042,0,2,0,20,0,12,19,18,34,6,-28,1,-20,0,0,0,0
1718,1,1,D,1,2,2043,1,1,20,15,2,6,13,24,17,17,0,-11,5,0,0,0,0
1718,3,0,H,2,1,2044,1,0,18,11,0,4,8,24,19,23,4,-16,7,0,0,0,0
1718,5,0,H,4,1,2045,3,1,36,20,1,5,17,21,10,28,18,-4,16,0,0,1,0
1718,1,2,A,3,3,2046,2,2,26,29,2,10,33,15,18,27,9,18,-3,0,0,0,0
1718,0,3,A,0,1,2047,0,1,12,12,1,3,18,24,27,11,-16,-6,0,0,0,0,0
1718,0,1,A,0,0,2048,0,0,9,10,2,2,12,20,29,12,-17,-8,-1,0,0,0,0
1718,2,2,D,2,3,2049,1,2,16,26,0,11,28,20,25,14,-11,8,-10,0,0,0,0
1718,0,0,D,5,4,2050,3,3,37,39,0,13,33,10,14,41,27,23,-2,1,0,1,1
1718,0,0,D,1,4,2051,1,2,20,34,2,12,27,10,26,17,-9,17,-14,0,0,0,0
1718,2,1,H,4,1,2052,2,1,21,21,0,5,18,18,20,21,1,0,0,0,0,0,0
1718,0,0,D,5,2,2053,3,1,38,21,0,6,26,19,10,35,25,7,17,1,0,1,0
1718,2,1,H,1,0,2054,0,0,11,12,1,1,11,30,27,8,-19,-19,-1,0,0,0,0
1718,2,2,D,1,0,2055,1,0,10,9,1,2,12,30,26,13,-13,-18,1,0,0,0,0
1718,2,0,H,1,0,2056,1,0,15,1,0,0,8,36,24,21,-3,-28,14,0,0,0,0
1718,1,3,A,3,3,2057,2,2,32,20,1,11,19,21,16,35,19,-2,12,0,0,0,0
1718,1,2,A,0,2,2058,0,1,13,20,2,7,21,19,20,13,-7,2,-7,0,0,0,0
1718,1,3,A,4,1,2059,3,1,40,18,1,3,23,24,10,33,23,-1,22,0,0,1,0
1718,1,0,H,4,2,2060,2,1,35,17,0,6,16,27,10,27,17,-11,18,0,0,0,0
1718,1,3,A,3,5,2061,2,3,23,39,2,15,35,10,22,22,0,25,-16,0,1,0,1
1718,3,3,D,2,3,2062,1,2,23,32,1,10,36,19,20,23,3,17,-9,0,0,0,0
1718,1,2,A,0,1,2063,0,1,1,11,0,4,15,28,38,8,-30,-13,-10,0,0,0,0
1718,0,3,A,1,5,2064,1,3,21,38,2,15,41,14,20,19,-1,27,-17,0,1,0,1
1718,1,0,H,0,1,2065,0,1,12,21,1,5,17,26,32,12,-20,-9,-9,0,0,0,0
1718,0,0,D,2,0,2066,1,0,22,13,0,2,14,22,19,26,7,-8,9,0,0,0,0
1718,0,1,A,3,1,2067,2,0,27,14,2,4,10,28,22,30,8,-18,13,0,0,0,0
1718,3,0,H,0,4,2068,0,2,10,24,2,12,23,21,32,14,-18,2,-14,0,0,0,0
1718,0,1,A,2,2,2069,1,1,17,23,0,6,26,19,28,16,-12,7,-6,0,0,0,0
1718,2,3,A,1,1,2070,1,1,21,21,2,5,19,23,27,17,-10,-4,0,0,0,0,0
1718,1,0,H,0,0,2071,0,0,14,1,2,0,9,40,22,14,-8,-31,13,0,0,0,0
1718,1,0,H,5,4,2072,3,2,41,38,0,12,28,10,14,44,30,18,3,1,0,1,0
1718,4,0,H,3,0,2073,2,0,33,15,1,1,13,32,22,39,17,-19,18,0,0,0,0
1718,0,2,A,4,2,2074,2,1,24,24,0,7,26,23,24,23,-1,3,0,0,0,0,0
1718,3,2,H,5,3,2075,3,2,42,27,0,11,30,23,11,38,27,7,15,1,0,1,0
1718,1,0,H,1,4,2076,0,3,17,40,1,13,34,13,28,11,-17,21,-23,0,0,0,1
1718,2,2,D,1,3,2077,1,2,14,23,1,11,23,25,29,17,-12,-2,-9,0,0,0,0
1718,4,0,H,1,0,2078,1,0,21,13,0,2,17,32,25,26,1,-15,8,0,0,0,0
1718,0,1,A,0,5,2079,0,3,15,45,1,15,41,13,36,13,-23,28,-30,0,1,0,1
1718,1,2,A,2,2,2080,1,1,27,17,1,6,16,29,23,28,5,-13,10,0,0,0,0
1718,1,0,H,0,1,2081,0,1,1,21,0,5,19,30,41,9,-32,-11,-20,0,0,0,0
1718,1,2,A,1,1,2082,1,1,24,24,2,3,30,25,25,22,-3,5,0,0,0,0,0
1718,1,1,D,2,4,2083,1,2,26,24,0,12,23,26,19,27,8,-3,2,0,0,0,0
1718,0,0,D,4,3,2084,3,2,40,36,1,10,43,22,14,34,20,21,4,0,0,1,0
1718,1,1,D,4,1,2085,2,0,38,20,0,4,12,28,11,28,17,-16,18,0,0,0,0
1718,2,0,H,3,1,2086,2,1,27,15,2,4,19,31,26,32,6,-12,12,0,0,0,0
1718,0,0,D,3,0,2087,2,0,24,17,2,2,15,22,27,25,-2,-7,7,0,0,0,0
1718,1,3,A,0,5,2088,0,3,13,44,2,15,45,14,36,17,-19,31,-31,0,1,0,1
1718,1,1,D,1,1,2089,1,1,21,27,2,3,32,26,31,19,-12,6,-6,0,0,0,0
1718,1,1,D,2,4,2090,1,3,27,41,3,13,34,14,20,28,8,20,-14,0,0,0,1
1718,3,2,H,0,3,2091,0,2,4,30,3,11,34,26,41,10,-31,8,-26,0,0,0,0
1718,0,1,A,2,5,2092,1,3,20,47,3,15,48,15,30,18,-12,33,-27,0,1,0,1
