season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak5,AwayStreak5,matchid,HomeStreak3,AwayStreak3,PointsHome,PointsAway,winner,HomeResult5,AwayResult5,AwayScored,AwayConceded,HomeConceded,HomeScored,DifH,DifA,DifPoints
1112,2011-10-23,Roma,Palermo,1,0,H,2,3,68,0,2,8,10,Roma,2,10,9,9,6,7,1,0,-2
1112,2011-10-23,Siena,Cesena,2,0,H,1,0,69,0,0,6,2,Siena,2,1,2,7,4,4,0,-5,4
1112,2011-10-23,Udinese,Novara,3,0,H,3,1,70,2,1,12,5,Udinese,2,5,10,12,1,7,6,-2,7
1112,2011-10-25,Juventus,Fiorentina,2,1,H,3,2,71,2,2,13,9,Juventus,2,7,8,6,5,11,6,2,4
1112,2011-10-26,Atalanta,Inter,1,1,D,3,1,72,2,0,14,7,noone,1,4,9,13,8,10,2,-4,7
1112,2011-10-26,Cesena,Cagliari,1,1,D,0,3,73,0,2,2,12,noone,1,10,8,5,9,2,-7,3,-10
1112,2011-10-26,Chievo,Bologna,0,1,A,2,0,74,1,0,9,4,Bologna,2,1,4,12,6,6,0,-8,5
1112,2011-10-26,Genoa,Roma,2,1,H,2,2,75,2,0,9,11,Genoa,1,8,8,6,10,11,1,2,-2
1112,2011-10-26,Lazio,Catania,1,1,D,2,1,76,1,1,14,10,noone,2,6,9,10,7,11,4,-1,4
1112,2011-10-26,Milan,Parma,4,1,H,1,2,77,0,1,11,9,Milan,2,6,9,13,11,12,1,-4,2
1112,2011-10-26,Napoli,Udinese,2,0,H,3,3,78,2,2,11,15,Napoli,1,11,10,1,5,10,5,9,-4
1112,2011-10-26,Novara,Siena,1,1,D,1,1,79,1,0,5,9,noone,2,5,6,4,15,10,-5,2,-4
1112,2011-10-27,Palermo,Lecce,2,0,H,3,1,80,2,1,10,4,Palermo,1,3,6,13,10,9,-1,-7,6
1112,2011-10-29,Catania,Napoli,2,1,H,1,3,81,1,2,11,14,Catania,3,10,12,5,11,10,-1,7,-3
1112,2011-10-29,Inter,Juventus,1,2,A,1,3,82,0,2,8,16,Juventus,1,11,13,6,14,10,-4,7,-8
1112,2011-10-29,Roma,Milan,2,3,A,2,1,83,0,0,11,14,Milan,2,5,16,12,8,9,1,4,-3
1112,2011-10-30,Bologna,Atalanta,3,1,H,0,3,84,0,2,7,15,Bologna,1,10,11,9,12,5,-7,2,-8
1112,2011-10-30,Cagliari,Lazio,0,3,A,3,2,85,2,1,13,15,Lazio,1,8,12,8,6,9,3,4,-2
1112,2011-10-30,Fiorentina,Genoa,1,0,H,2,2,86,2,2,9,12,Fiorentina,1,7,13,11,8,9,1,2,-3
1112,2011-10-30,Lecce,Novara,1,1,D,1,1,87,1,1,4,6,noone,0,5,11,16,15,6,-9,-5,-2
1112,2011-10-30,Parma,Cesena,2,0,H,2,0,88,1,0,9,3,Parma,0,1,3,10,17,10,-7,-7,6
1112,2011-10-30,Siena,Chievo,4,1,H,1,2,89,0,1,10,9,Siena,2,8,6,7,5,7,2,-1,1
1112,2011-10-30,Udinese,Palermo,1,0,H,3,3,90,2,2,15,13,Udinese,2,10,11,10,3,10,7,1,2
1112,2011-11-05,Novara,Roma,0,2,A,1,2,91,1,0,7,11,Roma,2,8,11,11,17,12,-5,0,-4
1112,2011-11-05,Palermo,Bologna,3,1,H,3,0,92,2,0,13,10,Palermo,1,1,8,13,11,11,0,-5,3
1112,2011-11-06,Atalanta,Cagliari,1,0,H,3,3,93,2,2,15,13,Atalanta,1,10,9,9,12,12,0,0,2
1112,2011-11-06,Cesena,Lecce,0,1,A,0,1,94,0,1,3,5,Lecce,1,3,7,16,12,3,-9,-9,-2
1112,2011-11-06,Chievo,Fiorentina,1,0,H,2,2,95,1,2,9,12,Chievo,2,7,10,8,11,7,-4,2,-3
1112,2011-11-06,Lazio,Parma,1,0,H,2,2,96,1,1,18,12,Lazio,2,6,12,17,8,15,7,-5,6
1112,2011-11-06,Milan,Catania,4,0,H,1,1,97,0,1,17,14,Milan,2,6,12,12,14,19,5,0,3
1112,2011-11-06,Udinese,Siena,2,1,H,3,1,98,2,0,18,13,Udinese,2,5,11,6,3,11,8,5,5
1112,2011-11-19,Fiorentina,Milan,0,0,D,2,1,99,2,0,12,20,noone,1,5,23,14,9,10,1,9,-8
1112,2011-11-19,Inter,Cagliari,2,1,H,1,3,100,0,2,8,13,Inter,1,10,9,10,16,11,-5,-1,-5
1112,2011-11-19,Napoli,Lazio,0,0,D,3,2,101,2,1,14,21,noone,1,8,16,8,7,13,6,8,-7
1112,2011-11-20,Bologna,Cesena,0,1,A,0,0,102,0,0,10,3,Cesena,1,1,3,13,16,9,-7,-10,7
1112,2011-11-20,Catania,Chievo,1,2,A,1,2,103,1,1,14,12,Chievo,3,8,8,11,16,12,-4,-3,2
1112,2011-11-20,Genoa,Novara,1,0,H,2,1,104,2,1,12,7,Genoa,1,5,12,19,12,13,1,-7,5
1112,2011-11-20,Juventus,Palermo,3,0,H,3,3,105,2,2,19,16,Juventus,2,10,14,12,7,15,8,2,3
1112,2011-11-20,Parma,Udinese,2,0,H,2,3,106,1,2,12,21,Parma,0,11,13,4,18,12,-6,9,-9
1112,2011-11-20,Roma,Lecce,2,1,H,2,1,107,0,1,14,8,Roma,2,3,8,16,11,13,2,-8,6
1112,2011-11-20,Siena,Atalanta,2,2,D,1,3,108,0,2,13,18,noone,2,10,13,12,8,12,4,1,-5
1112,2011-11-25,Udinese,Roma,2,0,H,3,2,109,2,0,21,17,Udinese,2,8,15,12,6,13,7,3,4
1112,2011-11-26,Atalanta,Napoli,1,1,D,3,3,110,2,2,19,15,noone,1,10,13,7,14,15,1,6,4
1112,2011-11-26,Lazio,Juventus,0,1,A,2,3,111,1,2,22,22,Juventus,2,11,18,7,8,16,8,11,0
1112,2011-11-26,Lecce,Catania,0,1,A,1,1,112,1,1,8,14,Catania,0,6,13,18,18,9,-9,-5,-6
1112,2011-11-26,Novara,Parma,2,1,H,1,2,113,1,1,7,15,Novara,2,6,14,18,20,12,-8,-4,-8
1112,2011-11-27,Cagliari,Bologna,1,1,D,3,0,114,2,0,13,10,noone,1,1,9,17,12,10,-2,-8,3
1112,2011-11-27,Cesena,Genoa,2,0,H,0,2,115,0,2,6,15,Cesena,1,7,14,12,13,4,-9,2,-9
1112,2011-11-27,Milan,Chievo,4,0,H,1,2,116,0,1,21,15,Milan,2,8,10,12,14,23,9,-2,6
1112,2011-11-27,Palermo,Fiorentina,2,0,H,3,2,117,2,2,16,13,Palermo,1,7,10,9,15,14,-1,1,3
1112,2011-11-27,Siena,Inter,0,1,A,1,1,118,0,0,14,11,Inter,2,4,13,17,10,14,4,-4,3
1112,2011-11-29,Napoli,Juventus,3,3,D,3,3,119,2,2,16,25,noone,1,11,19,7,8,14,6,12,-9
1112,2011-12-02,Genoa,Milan,0,2,A,2,1,120,2,0,15,24,Milan,1,5,27,14,14,14,0,13,-9
1112,2011-12-03,Inter,Udinese,0,1,A,1,3,121,0,2,14,24,Udinese,1,11,15,6,17,14,-3,9,-10
1112,2011-12-03,Napoli,Lecce,4,2,H,3,1,122,2,1,17,8,Napoli,1,3,9,19,11,17,6,-10,9
1112,2011-12-04,Bologna,Siena,1,0,H,0,1,123,0,0,11,14,Bologna,1,5,14,11,18,10,-8,3,-3
1112,2011-12-04,Catania,Cagliari,0,1,A,1,3,124,1,2,17,14,Cagliari,3,10,11,13,18,14,-4,-2,3
1112,2011-12-04,Chievo,Atalanta,0,0,D,2,3,125,1,2,15,20,noone,2,10,16,15,16,10,-6,1,-5
1112,2011-12-04,Fiorentina,Roma,3,0,H,2,2,126,2,0,13,17,Fiorentina,1,8,15,14,11,10,-1,1,-4
1112,2011-12-04,Juventus,Cesena,2,0,H,3,0,127,2,0,26,9,Juventus,2,1,6,13,10,22,12,-7,17
1112,2011-12-04,Parma,Palermo,0,0,D,2,3,128,1,2,15,19,noone,0,10,16,15,20,15,-5,1,-4
1112,2011-12-05,Lazio,Novara,3,0,H,2,1,129,1,1,22,10,Lazio,2,5,14,21,9,16,7,-7,12
1112,2011-12-10,Inter,Fiorentina,2,0,H,1,2,130,0,2,14,16,Inter,1,7,13,11,18,14,-4,2,-2
1112,2011-12-10,Lecce,Lazio,2,3,A,1,2,131,1,1,8,25,Lazio,0,8,19,9,23,11,-12,10,-17
1112,2011-12-10,Palermo,Cesena,0,1,A,3,0,132,2,0,20,9,Cesena,1,1,6,15,15,16,1,-9,11
1112,2011-12-10,Siena,Genoa,0,2,A,1,2,133,0,2,14,15,Genoa,2,7,14,16,12,14,2,-2,-1
1112,2011-12-11,Atalanta,Catania,1,1,D,3,1,134,2,1,21,17,noone,1,6,14,19,15,16,1,-5,4
1112,2011-12-11,Bologna,Milan,2,2,D,0,1,135,0,0,14,27,noone,1,5,29,14,18,11,-7,15,-13
1112,2011-12-11,Cagliari,Parma,0,0,D,3,2,136,2,1,17,16,noone,1,6,15,20,13,12,-1,-5,1
1112,2011-12-11,Novara,Napoli,1,1,D,1,3,137,1,2,10,20,noone,2,10,21,13,24,14,-10,8,-10
1112,2011-12-11,Udinese,Chievo,2,1,H,3,2,138,2,1,27,16,Udinese,2,8,10,16,6,16,10,-6,11
1112,2011-12-12,Roma,Juventus,1,1,D,2,3,139,0,2,17,29,noone,2,11,24,10,17,15,-2,14,-12
1112,2011-12-13,Genoa,Inter,0,1,A,2,1,140,2,0,18,17,Inter,1,4,16,18,16,16,0,-2,1
1112,2011-12-17,Chievo,Cagliari,2,0,H,2,3,141,1,2,16,18,Chievo,2,10,12,13,18,11,-7,-1,-2
1112,2011-12-17,Fiorentina,Atalanta,2,2,D,2,3,142,2,2,16,22,noone,1,10,17,16,13,13,0,1,-6
1112,2011-12-17,Milan,Siena,2,0,H,1,1,143,0,0,28,14,Milan,2,5,14,14,16,31,15,0,14
1112,2011-12-18,Catania,Palermo,2,0,H,1,3,144,1,2,18,20,Catania,3,10,16,16,20,15,-5,0,-2
1112,2011-12-18,Cesena,Inter,0,1,A,0,1,145,0,0,12,20,Inter,1,4,17,18,15,7,-8,-1,-8
1112,2011-12-18,Genoa,Bologna,2,1,H,2,0,146,2,0,18,15,Genoa,1,1,13,20,17,16,-1,-7,3
1112,2011-12-18,Juventus,Novara,2,0,H,3,1,147,2,1,30,11,Juventus,2,5,15,25,11,25,14,-10,19
1112,2011-12-18,Lazio,Udinese,2,2,D,2,3,148,1,2,28,30,noone,2,11,18,7,11,22,11,11,-2
1112,2011-12-18,Napoli,Roma,1,3,A,3,2,149,2,0,21,18,Roma,1,8,16,18,14,22,8,-2,3
1112,2011-12-18,Parma,Lecce,3,3,D,2,1,150,1,1,17,8,noone,0,3,13,26,20,15,-5,-13,9
1112,2011-12-20,Cagliari,Milan,0,2,A,3,1,151,2,0,18,31,Milan,1,5,33,16,15,12,-3,17,-13
1112,2011-12-20,Siena,Fiorentina,0,0,D,1,2,152,0,2,14,17,noone,2,7,15,15,16,14,-2,0,-3
1112,2011-12-21,Atalanta,Cesena,4,1,H,3,0,153,2,0,23,12,Atalanta,1,1,7,16,18,19,1,-9,11
1112,2011-12-21,Bologna,Roma,0,2,A,0,2,154,0,0,15,21,Roma,1,8,19,19,22,14,-8,0,-6
1112,2011-12-21,Inter,Lecce,4,1,H,1,1,155,0,1,23,9,Inter,1,3,16,29,18,18,0,-13,14
1112,2011-12-21,Lazio,Chievo,0,0,D,2,2,156,1,1,29,19,noone,2,8,13,18,13,24,11,-5,10
1112,2011-12-21,Napoli,Genoa,6,1,H,3,2,157,2,2,21,21,Napoli,1,7,18,18,17,23,6,0,0
1112,2011-12-21,Novara,Palermo,2,2,D,1,3,158,1,2,11,20,noone,2,10,16,18,27,15,-12,-2,-9
1112,2011-12-21,Parma,Catania,3,3,D,2,1,159,1,1,18,21,noone,0,6,17,20,23,18,-5,-3,-3
1112,2011-12-21,Udinese,Juventus,0,0,D,3,3,160,2,2,31,33,noone,2,11,27,11,9,20,11,16,-2
1112,2012-01-07,Inter,Parma,5,0,H,1,2,161,0,1,26,19,Inter,1,6,21,26,19,22,3,-5,7
1112,2012-01-07,Siena,Lazio,4,0,H,1,2,162,0,1,15,30,Siena,2,8,24,13,16,14,-2,11,-15
1112,2012-01-08,Atalanta,Milan,0,2,A,3,1,163,2,0,26,34,Milan,1,5,35,16,19,23,4,19,-8
1112,2012-01-08,Bologna,Catania,2,0,H,0,1,164,0,1,15,22,Bologna,1,6,20,23,24,14,-10,-3,-7
1112,2012-01-08,Cagliari,Genoa,3,0,H,3,2,165,2,2,18,21,Cagliari,1,7,19,24,17,12,-5,-5,-3
1112,2012-01-08,Lecce,Juventus,0,1,A,1,3,166,1,2,9,34,Juventus,0,11,27,11,33,17,-16,16,-25
1112,2012-01-08,Novara,Fiorentina,0,3,A,1,2,167,1,2,12,18,Fiorentina,2,7,15,15,29,17,-12,0,-6
1112,2012-01-08,Palermo,Napoli,1,3,A,3,3,168,2,2,21,24,Napoli,1,10,29,18,20,18,-2,11,-3
1112,2012-01-08,Roma,Chievo,2,0,H,2,2,169,0,1,24,20,Roma,2,8,13,18,19,21,2,-5,4
1112,2012-01-08,Udinese,Cesena,4,1,H,3,0,170,2,0,32,12,Udinese,2,1,8,20,9,20,11,-12,20
1112,2012-01-15,Cesena,Novara,3,1,H,0,1,171,0,1,12,12,Cesena,1,5,17,32,24,9,-15,-15,0
